location,line,message
/TEI[1],,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""step_SarrV2"" whilst the file name is ""step_SarrV2.xml"""
/TEI[1],,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],34,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/head[1],41,"The title of a step should describe the action to perform, starting or ending with a gerund (or an infinitive), or a noun ."
/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],9,The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],29,"sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
