context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""step_annotation"" whilst the file name is ""step_annotation.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],37,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[1],45,{http://www.tei-c.org/ns/1.0}desc,"The corpus texts containing TEI text
                        structuring can be further enhanced by adding linguistic markup, e.g.
                        information on tokens, lemmas, Parts-of-Speech or results of higher level
                        linguistic analysis). Here, a wide range of NLP tools are available to
                        perform the task of linguistic analysis and tagging automatically. For
                        example, the CLARIN infrastructure offers the WebLicht service which allows
                        for data analysis with various NLP tools and for the building of analysis
                        chains. In- and output format here is the Text Corpus Format (TCF; for
                        conversion between TEI and TCF use the TEI2TCF-webservice). Another toolkit
                        is e.g. Apache OpenNLP. As tools you may use e.g. the Stanford Tokenizer or
                        TreeTagger for tokenization, POS tagging and more, or e.g. enrich corpus
                        with Named Entity Recognition annotation (e.g. by usage of Apache Stanbol or
                        Babelfy). Manual annotation may e.g. be performed in WebAnno.","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:titleStmt,not(tei:sponsor),/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],8,{http://www.tei-c.org/ns/1.0}titleStmt,"
            ",The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
tei:sourceDesc,child::*,/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],32,{http://www.tei-c.org/ns/1.0}sourceDesc,"
            ","sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
