context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""SSK_sc_digitization"" whilst the file name is ""SSK_sc_digitization.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchScenario"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],57,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/div[1]/desc[1],64,{http://www.tei-c.org/ns/1.0}desc,"The digitisation process of original objects lies at the
     core of many activities in the digital humanities field. The way in which a source is
     digitised, determines to a large extent what kind of information can be gathered from this
     virtual replica. While there are many complimentary processes which can enrich the the object
     (metadating, adding augmented layers etc.), these data will build upon the digital
     fascimile.","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:desc[@type = 'terms'],count(tei:term[@type = 'object']) < 5,/TEI[1]/text[1]/body[1]/div[1]/desc[2],70,{http://www.tei-c.org/ns/1.0}desc,"
               ",More than 4 terms of the same vocabulary type may be too much: OBJECT
tei:sourceDesc,child::*,/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],29,{http://www.tei-c.org/ns/1.0}sourceDesc,"
            ","sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
tei:div/tei:head,normalize-space(.),/TEI[1]/text[1]/body[1]/div[1]/head[1],63,{http://www.tei-c.org/ns/1.0}head,Digitizing textual material,The title of a scenario should describe the main goal of the scenario.
tei:desc[@type = 'terms'],ancestor::tei:TEI[@type = 'researchScenario'] and count(tei:term[@type = 'standard']) = 0,/TEI[1]/text[1]/body[1]/div[1]/desc[2],70,{http://www.tei-c.org/ns/1.0}desc,"
               ",A scenario could have several keywords related to standards. Check the documentation for more details
