location,line,role,message
/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],54,information,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],25,information,"sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
/TEI[1]/text[1]/body[1]/div[1]/head[1],60,information,The title of a scenario should describe the main goal of the scenario.
/TEI[1]/text[1]/body[1]/div[1]/desc[2],64,information,A scenario could have several keywords related to standards. Check the documentation for more details
/TEI[1]/text[1]/body[1]/div[1]/desc[2],64,information,A scenario could have several keywords related to disciplines. Check the documentation for more details.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[4],68,warning,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
/TEI[1]/text[1]/body[1]/div[1]/desc[2]/term[5],69,warning,The activity terms are more suitable for describing steps rather than scenarios. It is recommended to choose one activity term per scenario step.
