step,resource,
../steps/step_EttrLPaA.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
../steps/step_EttrLPaAV2.xml,http://www.parthenos-project.eu/Download/Deliverables/D3.1_Guidelines_for_Common_Policies_Implementation.pdf,ZUEGLA6W
../steps/step_FswHasHQcttg.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
../steps/step_GC_081117.xml,https://modern.kikirpa.be/,N3N6HFP7
../steps/step_HaRotQotPD_020218.xml,https://gioqoso.irisa.fr/,6WRG74YN
../steps/step_HoEDTftC.xml,https://www.zotero.org/groups/427927/items/4BWPP9WT,4BWPP9WT
../steps/step_HoEDTftC.xml,https://www.zotero.org/groups/427927/items/T7672NJ8,T7672NJ8
../steps/step_IaRwtf.xml,https://www.d4science.org/,REPS374P
../steps/step_IPP_201017.xml,https://github.com/jcupitt/libvips,NDT75L9A
../steps/step_ItD.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
../steps/step_ItdaoeoSIMooMautAtC.xml,http://nerd.eurecom.fr/,35LQP6YP
../steps/step_ItdaoeoSIMooMautAtC.xml,https://dandelion.eu/docs/api/datatxt/nex/v1/,XISZR9RA
../steps/step_ItdaoeoSIMooMautAtC.xml,https://pleiades.stoa.org/,ZW2W949X
../steps/step_ItdaoeoSIMooMautAtC.xml,http://www.getty.edu/research/tools/vocabularies/tgn/index.html,JEF4GFGT
../steps/step_ItPp.xml,https://www.d4science.org/,REPS374P
../steps/step_ItRhaeD.xml,https://www.d4science.org/,REPS374P
../steps/step_MIS_201017.xml,http://www.charismaproject.eu,????
../steps/step_MtRbV_121017.xml,https://github.com/jasp-stats/jasp-desktop,S5BQ68HQ
../steps/step_P_201017.xml,http://www.charismaproject.eu,????
../steps/step_PI_081117.xml,https://modern.kikirpa.be/,N3N6HFP7
../steps/step_PiaOSDCtRotME_020218.xml,https://github.com/rism-ch/verovio,5L64P2MB
../steps/step_PiaOSDCtRotME_020218.xml,https://github.com/0xfe/vexflow,44A5IYLX
../steps/step_PiaOSDCtRotME_020218.xml,https://github.com/Acatus-dev/tikit-musica,Z3CNMMI5
../steps/step_PTtacitUaRoD.xml,https://www.w3.org/XML/,Q2C4H3FC
../steps/step_PTtacitUaRoD.xml,https://www.openarchives.org/pmh/,VEAVKF6S
../steps/step_Pu_201017.xml,https://hal.archives-ouvertes.fr/ ,H793RGGY
../steps/step_RLCP_081117.xml,http://www.cost.eu/COST_Actions/fps/G7,C94KPIQG
../steps/step_RoM.xml,https://www.zotero.org/groups/427927/items/T7672NJ8,T7672NJ8
../steps/step_RoM.xml,https://github.com/deutschestextarchiv/dtabf/tree/master/schema,558UTLGY
../steps/step_Rv_121017.xml,http://historyofwork.iisg.nl/,BBR32UYM
../steps/step_Rv_121017.xml,http://www.hisma.org/HISMA/HISCAM.html,WYXSPBCA
../steps/step_Sarr.xml,http://eac.staatsbibliothek-berlin.de/,DQTQDNPS
../steps/step_Sarr.xml,http://www.foaf-project.org/,QQ3SKSNP
../steps/step_Sarr.xml,http://www.dnb.de/EN/Standardisierung/GND/gnd_node.html,TWBUXXJN
../steps/step_Sarr.xml,https://viaf.org/,76VC5TC4
../steps/step_SdtAaP.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
../steps/step_SDtatRfC.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
../steps/step_SEouDatttQ.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
../steps/step_StR.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
../steps/step_StRR.xml,https://www.d4science.org/,REPS374P
../steps/step_StURR.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd,9SKJK8BF
../steps/step_StWowtSiC.xml,http://www.mirabileweb.it/,KJLKJT69
../steps/step_StWowtSiC.xml,http://textinc.bodleian.ox.ac.uk/,XJDYI9AN
../steps/step_StWowtSiC.xml,https://www.base-search.net/about/en/,I32B6KKT
../steps/step_tdsw_1.xml,http://www.mirabileweb.it/,KJLKJT69
../steps/step_tdsw_1.xml,http://textinc.bodleian.ox.ac.uk/,XJDYI9AN
../steps/step_tdsw_1.xml,https://www.base-search.net/about/en/,I32B6KKT
../steps/step_tdsw_10.xml,https://www.d4science.org/,REPS374P
../steps/step_tdsw_11.xml,http://nerd.eurecom.fr/,35LQP6YP
../steps/step_tdsw_11.xml,https://dandelion.eu/docs/api/datatxt/nex/v1/,XISZR9RA
../steps/step_tdsw_11.xml,https://pleiades.stoa.org/,ZW2W949X
../steps/step_tdsw_11.xml,http://www.getty.edu/research/tools/vocabularies/tgn/index.html,JEF4GFGT
../steps/step_tdsw_2.xml,http://www.getty.edu/research/tools/vocabularies/tgn/index.html,JEF4GFGT
../steps/step_tdsw_6.xml,https://www.cerl.org/resources/cerl_portal,6ZFUTU53
../steps/step_tdsw_6.xml,https://kvk.bibliothek.kit.edu/?digitalOnly=0=0=0,Q4W9D8YV
../steps/step_tdsw_6.xml,http://www.bl.uk/catalogues/istc/,CK74XUJB
../steps/step_tdsw_6.xml,http://www.mirabileweb.it/,KJLKJT69
../steps/step_tdsw_6.xml,http://textinc.bodleian.ox.ac.uk/,XJDYI9AN
../steps/step_tdsw_6.xml,https://www.base-search.net/about/en/,I32B6KKT
../steps/step_tdsw_7.xml,https://www.worldcat.org/,A8ESQDLF
../steps/step_tdsw_7.xml,https://data.cerl.org/mei/_search,V5WXVD5C
../steps/step_tdsw_7.xml,https://manus.iccu.sbn.it/,SNFR7WZG
../steps/step_tdsw_8.xml,http://www.biblissima-condorcet.fr/en/resources/biblissima-resources,KJB5UBGY
../steps/step_tdsw_8.xml,http://mlgb3.bodleian.ox.ac.uk,CGGG2BTD
../steps/step_tdsw_9.xml,https://thesaurus.cerl.org/cgi-bin/search.pl?lang=en,D4ZDU8RS
../steps/step_TfRotS_121017.xml,https://github.com/jasp-stats/jasp-desktop,S5BQ68HQ
../steps/step_Trcstr.xml,https://www.d4science.org/,REPS374P
../steps/step_TRctSR.xml,https://www.d4science.org/,REPS374P
../steps/step_Trcttu.xml,https://www.d4science.org/,REPS374P
../steps/step_TRdaatD.xml,https://www.d4science.org/,REPS374P
../steps/step_TRhtdtT.xml,https://www.d4science.org/,REPS374P
../steps/step_TRhtftP.xml,https://www.d4science.org/,REPS374P
../steps/step_TRhtstA.xml,https://www.d4science.org/,REPS374P
../steps/step_TrhtstRR.xml,https://www.d4science.org/,REPS374P
../steps/step_TRmetracP.xml,https://www.d4science.org/,REPS374P
../steps/step_TrmsTotD.xml,https://www.d4science.org/,REPS374P
../steps/step_TUcsaL.xml,https://www.d4science.org/,REPS374P
../steps/step_UoRttPV.xml,https://www.d4science.org/,REPS374P
../steps/step_UtPaCotW.xml,http://www.biblissima-condorcet.fr/en/resources/biblissima-resources,KJB5UBGY
../steps/step_UtPaCotW.xml,http://mlgb3.bodleian.ox.ac.uk,CGGG2BTD
