step,resource
../../steps/step_ItdaoeoSIMooMautAtC.xml,http://nerd.eurecom.fr/
../../steps/step_ItdaoeoSIMooMautAtC.xml,https://dandelion.eu/docs/api/datatxt/nex/v1/
../../steps/step_ItdaoeoSIMooMautAtC.xml,https://pleiades.stoa.org/
../../steps/step_ItdaoeoSIMooMautAtC.xml,http://www.getty.edu/research/tools/vocabularies/tgn/index.html
../../steps/step_ItPp.xml,https://www.d4science.org/
../../steps/step_ItRhaeD.xml,https://www.d4science.org/
../../steps/step_MIS_201017.xml,http://www.charismaproject.eu
../../steps/step_MtRbV_121017.xml,https://github.com/jasp-stats/jasp-desktop
../../steps/step_P_201017.xml,http://www.charismaproject.eu
../../steps/step_PI_081117.xml,https://modern.kikirpa.be/
../../steps/step_PiaOSDCtRotME_020218.xml,https://github.com/rism-ch/verovio
../../steps/step_PiaOSDCtRotME_020218.xml,https://github.com/0xfe/vexflow
../../steps/step_PiaOSDCtRotME_020218.xml,https://github.com/Acatus-dev/tikit-musica
../../steps/step_PTtacitUaRoD.xml,https://www.w3.org/XML/
../../steps/step_PTtacitUaRoD.xml,https://www.openarchives.org/pmh/
../../steps/step_Pu_201017.xml,https://hal.archives-ouvertes.fr/ 
../../steps/step_RLCP_081117.xml,http://www.cost.eu/COST_Actions/fps/G7
../../steps/step_RoM.xml,https://www.zotero.org/groups/427927/items/T7672NJ8
../../steps/step_RoM.xml,https://github.com/deutschestextarchiv/dtabf/tree/master/schema
../../steps/step_Rv_121017.xml,http://historyofwork.iisg.nl/
../../steps/step_Rv_121017.xml,http://www.hisma.org/HISMA/HISCAM.html
../../steps/step_Sarr.xml,http://eac.staatsbibliothek-berlin.de/
../../steps/step_Sarr.xml,http://www.foaf-project.org/
../../steps/step_Sarr.xml,http://www.dnb.de/EN/Standardisierung/GND/gnd_node.html
../../steps/step_Sarr.xml,https://viaf.org/
../../steps/step_SdtAaP.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd
../../steps/step_SDtatRfC.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd
../../steps/step_SEouDatttQ.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd
../../steps/step_StR.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd
../../steps/step_StRR.xml,https://www.d4science.org/
../../steps/step_StURR.xml,https://github.com/PARTHENOSWP4/standardsLibrary/tree/master/archivalDescription/EAD/odd
../../steps/step_StWowtSiC.xml,http://www.mirabileweb.it/
../../steps/step_StWowtSiC.xml,http://textinc.bodleian.ox.ac.uk/
../../steps/step_StWowtSiC.xml,https://www.base-search.net/about/en/
../../steps/step_tdsw_1.xml,http://www.mirabileweb.it/
../../steps/step_tdsw_1.xml,http://textinc.bodleian.ox.ac.uk/
../../steps/step_tdsw_1.xml,https://www.base-search.net/about/en/
../../steps/step_tdsw_10.xml,https://www.d4science.org/
../../steps/step_tdsw_11.xml,http://nerd.eurecom.fr/
../../steps/step_tdsw_11.xml,https://dandelion.eu/docs/api/datatxt/nex/v1/
../../steps/step_tdsw_11.xml,https://pleiades.stoa.org/
../../steps/step_tdsw_11.xml,http://www.getty.edu/research/tools/vocabularies/tgn/index.html
../../steps/step_tdsw_2.xml,http://www.getty.edu/research/tools/vocabularies/tgn/index.html
../../steps/step_tdsw_6.xml,https://www.cerl.org/resources/cerl_portal
../../steps/step_tdsw_6.xml,https://kvk.bibliothek.kit.edu/?digitalOnly=0=0=0
../../steps/step_tdsw_6.xml,http://www.bl.uk/catalogues/istc/
../../steps/step_tdsw_6.xml,http://www.mirabileweb.it/
../../steps/step_tdsw_6.xml,http://textinc.bodleian.ox.ac.uk/
../../steps/step_tdsw_6.xml,https://www.base-search.net/about/en/
../../steps/step_tdsw_7.xml,https://www.worldcat.org/
../../steps/step_tdsw_7.xml,https://data.cerl.org/mei/_search
../../steps/step_tdsw_7.xml,https://manus.iccu.sbn.it/
../../steps/step_tdsw_8.xml,http://www.biblissima-condorcet.fr/en/resources/biblissima-resources
../../steps/step_tdsw_8.xml,http://mlgb3.bodleian.ox.ac.uk
../../steps/step_tdsw_9.xml,https://thesaurus.cerl.org/cgi-bin/search.pl?lang=en
../../steps/step_TfRotS_121017.xml,https://github.com/jasp-stats/jasp-desktop
../../steps/step_Trcstr.xml,https://www.d4science.org/
../../steps/step_TRctSR.xml,https://www.d4science.org/
../../steps/step_Trcttu.xml,https://www.d4science.org/
../../steps/step_TRdaatD.xml,https://www.d4science.org/
../../steps/step_TRhtdtT.xml,https://www.d4science.org/
../../steps/step_TRhtftP.xml,https://www.d4science.org/
../../steps/step_TRhtstA.xml,https://www.d4science.org/
../../steps/step_TrhtstRR.xml,https://www.d4science.org/
../../steps/step_TRmetracP.xml,https://www.d4science.org/
../../steps/step_TrmsTotD.xml,https://www.d4science.org/
../../steps/step_TUcsaL.xml,https://www.d4science.org/
../../steps/step_UoRttPV.xml,https://www.d4science.org/
../../steps/step_UtPaCotW.xml,http://www.biblissima-condorcet.fr/en/resources/biblissima-resources
../../steps/step_UtPaCotW.xml,http://mlgb3.bodleian.ox.ac.uk
