context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""step_conversionToTEI"" whilst the file name is ""step_conversionToTEI.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],37,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[1],45,{http://www.tei-c.org/ns/1.0}desc," For the project at hand, a TEI format has
                        to be chosen or created (the latter by usage of the ODD language) which
                        suits the markup necessities defined in the corpus composition step. Thus,
                        if digitized data from other sources are to be re-used for corpus creation,
                        these may very likely be available only in formats that aren't similar to
                        the TEI format selected for the corpus creation project at hand. External
                        data may either come in completely different formats or at least in
                        different TEI dialects. In any case, it will be necessary to convert the
                        data from different formats into the TEI output format. Conversion may be
                        conducted semi-automatically.","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:titleStmt,not(tei:sponsor),/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],8,{http://www.tei-c.org/ns/1.0}titleStmt,"
            ",The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
tei:sourceDesc,child::*,/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],32,{http://www.tei-c.org/ns/1.0}sourceDesc,"
            ","sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
