context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""SSK_sc_schemaCustomization"" whilst the file name is ""SSK_sc_schemaCustomization.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchScenario"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],30,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/div[1]/desc[1],37,{http://www.tei-c.org/ns/1.0}desc,"TEI ODD can be used to document data models external to
     the TEI environment. Several projects working with archival standards (in particular EAD) use
     it as well. PARTHENOS created and maintain an instance of the EAD specification in ODD, that
     can be used to create project oriented customizations.","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:sourceDesc,child::*,/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],25,{http://www.tei-c.org/ns/1.0}sourceDesc,"
            ","sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
tei:div/tei:head,normalize-space(.),/TEI[1]/text[1]/body[1]/div[1]/head[1],36,{http://www.tei-c.org/ns/1.0}head,Project-centered EAD customization,The title of a scenario should describe the main goal of the scenario.
tei:desc[@type = 'terms'],ancestor::tei:TEI[@type = 'researchScenario'] and count(tei:term[@type = 'standard']) = 0,/TEI[1]/text[1]/body[1]/div[1]/desc[2],41,{http://www.tei-c.org/ns/1.0}desc,"
               ",A scenario could have several keywords related to standards. Check the documentation for more details
