context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""step_A3DOBP"" whilst the file name is ""step_A3DOBP.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],50,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[1],89,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[2],90,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[3],91,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[4],92,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[5],93,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[6],94,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[7],95,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[8],96,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[9],99,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[10],102,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[11],103,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[12],104,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[13],105,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[14],106,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[15],107,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[16],108,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[17],109,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[18],110,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:linkGrp/tei:ref,tei:term,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/linkGrp[1]/ref[19],111,{http://www.tei-c.org/ns/1.0}ref,,"It is possible to add terms to resources, for instance a standard or a technique."
tei:titleStmt,not(tei:sponsor),/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],8,{http://www.tei-c.org/ns/1.0}titleStmt,"
            ",The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
tei:sourceDesc,child::*,/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],45,{http://www.tei-c.org/ns/1.0}sourceDesc,"
            ","sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
