context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""step_CaC_171117"" whilst the file name is ""step_CaC_171117.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],33,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:event/tei:head,"matches(., '(^\w*(ing|ion|ment|ments) )|( \w*(ing|ion|ment|ments$))')",/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/head[1],40,{http://www.tei-c.org/ns/1.0}head,Collect and classify,"The title of a step should describe the action to perform, starting or ending with a gerund (or an infinitive), or a noun ."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[1],42,{http://www.tei-c.org/ns/1.0}desc,"Gather the different materials related to a survey.
      Classify them according to a classification plan divided in three sections (preparation of the
      survey, field collection, data analysis). Do an analytical inventory of all the documents
      collected (provide for each document the file name, the author, the date, the version and its
      position into the classification plan). Give an unique identifier to each document.","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[2],47,{http://www.tei-c.org/ns/1.0}desc,"Rassembler les différents matériaux relatifs à une
      enquête. Les classer selon un plan de classement composé de trois sections (préparation de
      l'enquête, collecte sur le terrain et analyse des données). Réaliser un inventaire analytique
      de tous les documents collectés (pour chaque document sont détaillés le nom du fichier,
      l'auteur, la date, la version et sa position sur le plan de classement). Donner un identifiant
      unique à chaque document.","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:titleStmt,not(tei:sponsor),/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],8,{http://www.tei-c.org/ns/1.0}titleStmt,"
            ",The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
tei:sourceDesc,child::*,/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],28,{http://www.tei-c.org/ns/1.0}sourceDesc,"
            ","sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
