location,line,role,message
/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],57,information,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
/TEI[1]/text[1]/body[1]/div[1]/desc[2],70,warning,More than 4 terms of the same vocabulary type may be too much: OBJECT
/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],29,information,"sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
/TEI[1]/text[1]/body[1]/div[1]/head[1],63,information,The title of a scenario should describe the main goal of the scenario.
/TEI[1]/text[1]/body[1]/div[1]/desc[2],70,information,A scenario could have several keywords related to standards. Check the documentation for more details
