context,test,location,line,tag,nodeText,message
tei:TEI,"string(.) = substring-before($fileName, '.xml')",/TEI[1],,,,"The xml:id of the TEI element should be equal to the name of the file, without the file extension. Currently the value of xml:id is ""step_OAItPtC_020218"" whilst the file name is ""step_OAItPtC_020218.xml"""
tei:TEI,string(.) = 'researchScenario' or . = 'researchStep',/TEI[1],,,,"TEI/@type should be either ""researchScenario"" or ""researchStep"". The current value of TEI/@type is ""researchStep"""
tei:change,tei:date and tei:persName and tei:affiliation and tei:desc,/TEI[1]/teiHeader[1]/revisionDesc[1]/change[1],37,{http://www.tei-c.org/ns/1.0}change,,"When recording a revision, some precise metadata must be given : the date of the revision, the name of the responsibe and his/her affiliation and a description."
tei:event/tei:head,"matches(., '(^\w*(ing|ion|ment|ments) )|( \w*(ing|ion|ment|ments$))')",/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/head[1],44,{http://www.tei-c.org/ns/1.0}head,Offer anyone interested the possibility to contribute,"The title of a step should describe the action to perform, starting or ending with a gerund (or an infinitive), or a noun ."
tei:event/tei:head,"matches(., '(^\w*(ing|ion|ment|ments) )|( \w*(ing|ion|ment|ments$))')",/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/head[2],45,{http://www.tei-c.org/ns/1.0}head,Offrir à toute personne intéressée la possibilité de contribuer.,"The title of a step should describe the action to perform, starting or ending with a gerund (or an infinitive), or a noun ."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[1],46,{http://www.tei-c.org/ns/1.0}desc,"Create on the website a dedicated form for submitting
      contributions (i.e. complete metadata, reconstitute parts with missing voices, suggest some
      analysis, etc.). Integrate, after validation by the editorial team, the contributions into the
      edition. Possibly make the name of the contributors visible (section listing the contributors
      for example).","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:desc[@type = 'definition'],tei:list or tei:ref,/TEI[1]/text[1]/body[1]/listEvent[1]/event[1]/desc[2],51,{http://www.tei-c.org/ns/1.0}desc,"Créer sur le site un formulaire pour soumettre une
      contribution (c.à.d. compléter les métadonnées, reconstituer les parties où il manque des
      voix, proposer des analyses, etc.). Intégrer les contributions à l'édition après validation
      par l'équipe éditoriale. Faire éventuellement apparaître le nom des contributeurs (section
      listant les contributeurs par exemple).","In the <desc type=""definition>, there should be nothing more than text, <list> and <ref>."
tei:titleStmt,not(tei:sponsor),/TEI[1]/teiHeader[1]/fileDesc[1]/titleStmt[1],8,{http://www.tei-c.org/ns/1.0}titleStmt,"
            ",The main sponsor of the SSK is the PARTHENOS project. All scenarios and steps should record this information.
tei:sourceDesc,child::*,/TEI[1]/teiHeader[1]/fileDesc[1]/sourceDesc[1],32,{http://www.tei-c.org/ns/1.0}sourceDesc,"
            ","sourceDesc in mandatory in TEI, so if you want to give details on the way the scenario was conceived, it is the appropriate location."
